timestamp,symbol,mark_price,index_price,mark_premium_pct,funding_rate_pct,open_interest,trend_1m,trend_5m,trend_15m,orderbook_snapshot_imbalance,context_quality,context_confirm,warnings_json
2026-07-04T20:26:10.162797+00:00,AVAXUSDT,6.97962972,6.98374254,-0.058891346243694326,0.01,7816389.0,up,flat,down,0.14158474170562807,OK,INSUFFICIENT,[]
2026-07-04T20:26:11.115655+00:00,SUIUSDT,0.76587497,0.76618528,-0.04050064757181512,0.01,101809639.4,flat,flat,down,0.011565199253348396,OK,INSUFFICIENT,[]
2026-07-04T20:26:12.936776+00:00,BCHUSDT,232.81,232.94671313,-0.05868858511161254,0.0033810000000000003,332322.818,down,down,down,-0.052697017518076955,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-04T20:26:14.880502+00:00,LTCUSDT,44.86105882,44.89176471,-0.0683998283390275,0.00636,1142557.738,flat,flat,down,0.0685213434502892,OK,INSUFFICIENT,[]
2026-07-04T20:26:15.833962+00:00,HBARUSDT,0.07450145,0.07455294,-0.06906501608119178,0.01,306555429.0,flat,down,down,0.0067440620797467946,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-04T20:26:17.582690+00:00,DOTUSDT,0.887,0.88776298,-0.08594411089319907,0.01,31456723.2,flat,up,down,0.10001312111397943,OK,INSUFFICIENT,[]
2026-07-04T20:26:19.265915+00:00,NEARUSDT,1.98732171,1.9881027,-0.03928318190000856,-0.002444,42523211.0,up,up,down,0.15101610533817542,OK,INSUFFICIENT,[]
2026-07-04T20:26:20.466377+00:00,UNIUSDT,3.22819176,3.22987585,-0.05214101340767993,0.01,18551893.0,up,down,down,0.06124138500123594,OK,INSUFFICIENT,[]
2026-07-04T20:26:22.394248+00:00,AAVEUSDT,89.26,89.30165944,-0.04665024173260699,0.003974999999999999,613218.3,up,flat,down,-0.005699324757934468,OK,INSUFFICIENT,[]
2026-07-04T20:26:23.779865+00:00,WLDUSDT,0.4271,0.42736983,-0.0631373534252585,0.00025299999999999997,177313874.0,up,up,down,-0.03814425640865839,OK,INSUFFICIENT,[]
2026-07-04T20:26:25.065724+00:00,ZECUSDT,466.23830408,466.35595165,-0.025226990152861922,0.01,529683.674,up,flat,down,0.06686443490294793,OK,INSUFFICIENT,[]
2026-07-04T20:26:34.820890+00:00,BTCUSDT,63144.9,63172.18282609,-0.04318803762900995,0.009456,106327.77,down,down,down,-0.3178691785898632,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-04T20:26:35.543737+00:00,ETHUSDT,1783.91,1784.56883721,-0.03691856521657239,0.00942,2322060.995,down,down,down,-0.14883813903817483,OK,INSUFFICIENT,[]
2026-07-04T20:26:36.930613+00:00,BNBUSDT,573.55988442,573.24691103,0.05459661168303193,0.006914000000000001,569469.67,down,down,down,-0.22325000906410633,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-04T20:26:37.785089+00:00,SOLUSDT,81.6,81.63001874,-0.0367741432176017,0.002897,10226377.17,up,flat,down,0.34094613403395485,OK,INSUFFICIENT,[]
2026-07-04T20:26:38.960477+00:00,XRPUSDT,1.15968842,1.16018229,-0.042568310536796626,-0.004214,333974430.0,down,down,down,0.005884596448197623,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-04T20:26:40.122890+00:00,DOGEUSDT,0.07804673,0.07808512,-0.04916429660350046,0.01,2403423679.0,flat,down,down,0.02753710189578943,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-04T20:26:41.066162+00:00,ADAUSDT,0.1917,0.19169325,0.0035212507482656856,0.01,499216670.0,flat,up,down,0.027523663460139684,OK,INSUFFICIENT,[]
2026-07-04T20:26:42.591904+00:00,TRXUSDT,0.32597159,0.32609706,-0.038476274517782044,0.01,274349751.0,flat,flat,down,-0.07119611128234515,OK,INSUFFICIENT,[]
2026-07-04T20:26:43.329274+00:00,LINKUSDT,8.035,8.03838589,-0.04212151601495903,0.01,8539276.94,flat,down,down,-0.14997259168566243,OK,INSUFFICIENT,[]
2026-07-04T20:26:45.098231+00:00,AVAXUSDT,6.979,6.98207355,-0.04402059041615036,0.01,7816389.0,up,flat,down,0.14276635659454356,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-04T20:26:45.900795+00:00,SUIUSDT,0.76566818,0.76587473,-0.02696916243729788,0.01,101809639.4,flat,flat,down,0.02198069824731568,OK,INSUFFICIENT,[]
2026-07-04T20:26:47.171835+00:00,BCHUSDT,231.56490027,231.78810499,-0.0962968828834481,0.0033810000000000003,332322.818,down,down,down,-0.353641562577,OK,INSUFFICIENT,[]
2026-07-04T20:26:48.286527+00:00,LTCUSDT,44.86,44.88852941,-0.06355612530634988,0.00636,1142557.738,flat,flat,down,-0.02005418695867576,OK,INSUFFICIENT,[]
2026-07-04T20:26:49.394223+00:00,HBARUSDT,0.07447,0.07449265,-0.030405684319189965,0.01,306555429.0,flat,down,down,-0.043463816034390354,OK,INSUFFICIENT,[]
