timestamp,symbol,old_action,new_action,price,latest_event,suppression_reason,reason
2026-07-02T11:07:01.294930+00:00,WLDUSDT,WAITING,LONG_BIAS,0.3791,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:07:02.349887+00:00,WLDUSDT,LONG_BIAS,WAITING,0.3792,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:07:14.115398+00:00,WLDUSDT,WAITING,LONG_BIAS,0.3791,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:07:15.183084+00:00,WLDUSDT,LONG_BIAS,WAITING,0.379,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:07:20.519439+00:00,WLDUSDT,WAITING,LONG_BIAS,0.3792,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:07:21.566552+00:00,WLDUSDT,LONG_BIAS,WAITING,0.3792,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:07:24.732955+00:00,WLDUSDT,WAITING,LONG_BIAS,0.3791,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:07:25.786072+00:00,WLDUSDT,LONG_BIAS,WAITING,0.3792,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:07:39.474415+00:00,WLDUSDT,WAITING,LONG_BIAS,0.3794,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:07:40.528985+00:00,WLDUSDT,LONG_BIAS,WAITING,0.3792,SELL_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:09:59.331895+00:00,NEARUSDT,WAITING,LONG_BIAS,1.945,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:10:01.459940+00:00,NEARUSDT,LONG_BIAS,WAITING,1.945,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:11:33.504059+00:00,NEARUSDT,WAITING,LONG_BIAS,1.95,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:11:35.742518+00:00,NEARUSDT,LONG_BIAS,WAITING,1.95,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:11:36.882361+00:00,NEARUSDT,WAITING,LONG_BIAS,1.95,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:11:41.324460+00:00,NEARUSDT,LONG_BIAS,WAITING,1.951,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:12:24.804938+00:00,TRXUSDT,WAITING,LONG_BIAS,0.31705,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:12:27.057532+00:00,TRXUSDT,LONG_BIAS,WAITING,0.31705,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:12:28.191561+00:00,TRXUSDT,WAITING,LONG_BIAS,0.31705,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:12:44.068733+00:00,TRXUSDT,LONG_BIAS,WAITING,0.31693,SELL_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:24:06.399793+00:00,AAVEUSDT,WAITING,LONG_BIAS,87.26,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:24:09.873223+00:00,AAVEUSDT,LONG_BIAS,WAITING,87.27,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:24:14.586977+00:00,AAVEUSDT,WAITING,LONG_BIAS,87.23,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:24:16.947633+00:00,AAVEUSDT,LONG_BIAS,WAITING,87.24,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:24:20.462068+00:00,AAVEUSDT,WAITING,LONG_BIAS,87.24,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:24:22.818236+00:00,AAVEUSDT,LONG_BIAS,WAITING,87.24,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:24:33.401121+00:00,AAVEUSDT,WAITING,LONG_BIAS,87.28,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:24:34.564269+00:00,AAVEUSDT,LONG_BIAS,WAITING,87.28,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:24:36.883830+00:00,AAVEUSDT,WAITING,LONG_BIAS,87.3,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:24:40.450192+00:00,AAVEUSDT,LONG_BIAS,WAITING,87.31,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:24:41.607222+00:00,AAVEUSDT,WAITING,LONG_BIAS,87.31,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:24:42.790872+00:00,AAVEUSDT,LONG_BIAS,WAITING,87.33,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:24:46.384246+00:00,AAVEUSDT,WAITING,LONG_BIAS,87.28,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:24:47.562165+00:00,AAVEUSDT,LONG_BIAS,WAITING,87.27,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:24:48.778122+00:00,AAVEUSDT,WAITING,LONG_BIAS,87.26,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:24:51.152401+00:00,AAVEUSDT,LONG_BIAS,WAITING,87.25,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:24:52.340491+00:00,AAVEUSDT,WAITING,LONG_BIAS,87.26,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:25:00.638898+00:00,AAVEUSDT,LONG_BIAS,WAITING,87.21,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:25:04.220354+00:00,AAVEUSDT,WAITING,LONG_BIAS,87.2,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:25:08.996580+00:00,AAVEUSDT,LONG_BIAS,WAITING,87.15,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:25:11.443433+00:00,AAVEUSDT,WAITING,LONG_BIAS,87.11,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:25:31.648459+00:00,AAVEUSDT,LONG_BIAS,WAITING,87.1,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:29:31.040395+00:00,LINKUSDT,WAITING,SHORT_BIAS,7.647,SELL_AGGRESSION,NONE,Dashboard change from WAITING to SHORT_BIAS
2026-07-02T11:29:38.062879+00:00,LINKUSDT,SHORT_BIAS,WAITING,7.648,SELL_AGGRESSION,NONE,Dashboard change from SHORT_BIAS to WAITING
2026-07-02T11:29:39.228761+00:00,LINKUSDT,WAITING,SHORT_BIAS,7.648,SELL_AGGRESSION,NONE,Dashboard change from WAITING to SHORT_BIAS
2026-07-02T11:29:42.758074+00:00,LINKUSDT,SHORT_BIAS,WAITING,7.648,SELL_AGGRESSION,NONE,Dashboard change from SHORT_BIAS to WAITING
2026-07-02T11:29:54.534991+00:00,LINKUSDT,WAITING,SHORT_BIAS,7.649,SELL_AGGRESSION,NONE,Dashboard change from WAITING to SHORT_BIAS
2026-07-02T11:29:55.745998+00:00,LINKUSDT,SHORT_BIAS,WAITING,7.649,SELL_AGGRESSION,NONE,Dashboard change from SHORT_BIAS to WAITING
2026-07-02T11:29:56.940856+00:00,LINKUSDT,WAITING,SHORT_BIAS,7.649,SELL_AGGRESSION,NONE,Dashboard change from WAITING to SHORT_BIAS
2026-07-02T11:29:59.399930+00:00,LINKUSDT,SHORT_BIAS,WAITING,7.649,SELL_AGGRESSION,NONE,Dashboard change from SHORT_BIAS to WAITING
2026-07-02T11:30:02.917524+00:00,LINKUSDT,WAITING,SHORT_BIAS,7.65,SELL_AGGRESSION,NONE,Dashboard change from WAITING to SHORT_BIAS
2026-07-02T11:30:04.095373+00:00,LINKUSDT,SHORT_BIAS,WAITING,7.65,SELL_AGGRESSION,NONE,Dashboard change from SHORT_BIAS to WAITING
2026-07-02T11:35:21.580921+00:00,ZECUSDT,WAITING,SHORT_BIAS,445.95,SELL_AGGRESSION,NONE,Dashboard change from WAITING to SHORT_BIAS
2026-07-02T11:35:23.600381+00:00,ZECUSDT,SHORT_BIAS,WAITING,446.13,SELL_AGGRESSION,NONE,Dashboard change from SHORT_BIAS to WAITING
2026-07-02T11:35:27.635952+00:00,ZECUSDT,WAITING,SHORT_BIAS,445.79,SELL_AGGRESSION,NONE,Dashboard change from WAITING to SHORT_BIAS
2026-07-02T11:35:28.643740+00:00,ZECUSDT,SHORT_BIAS,WAITING,445.78,SELL_AGGRESSION,NONE,Dashboard change from SHORT_BIAS to WAITING
2026-07-02T11:36:10.117187+00:00,SUIUSDT,WAITING,LONG_BIAS,0.7444,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:36:14.180871+00:00,SUIUSDT,LONG_BIAS,WAITING,0.7444,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:37:14.227240+00:00,SUIUSDT,WAITING,LONG_BIAS,0.7436,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:37:15.247236+00:00,SUIUSDT,LONG_BIAS,WAITING,0.7438,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:37:19.325881+00:00,AAVEUSDT,WAITING,SHORT_BIAS,87.69,SELL_AGGRESSION,NONE,Dashboard change from WAITING to SHORT_BIAS
2026-07-02T11:37:20.341278+00:00,AAVEUSDT,SHORT_BIAS,WAITING,87.69,SELL_AGGRESSION,NONE,Dashboard change from SHORT_BIAS to WAITING
2026-07-02T11:37:28.533560+00:00,AAVEUSDT,WAITING,SHORT_BIAS,87.49,SELL_AGGRESSION,NONE,Dashboard change from WAITING to SHORT_BIAS
2026-07-02T11:37:29.554477+00:00,SUIUSDT,WAITING,LONG_BIAS,0.7432,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:37:29.558911+00:00,AAVEUSDT,SHORT_BIAS,WAITING,87.48,SELL_AGGRESSION,NONE,Dashboard change from SHORT_BIAS to WAITING
2026-07-02T11:37:30.577892+00:00,SUIUSDT,LONG_BIAS,WAITING,0.7434,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:38:09.404455+00:00,AAVEUSDT,WAITING,SHORT_BIAS,87.57,TRADE_BURST,NONE,Dashboard change from WAITING to SHORT_BIAS
2026-07-02T11:38:10.429787+00:00,AAVEUSDT,SHORT_BIAS,WAITING,87.56,TRADE_BURST,NONE,Dashboard change from SHORT_BIAS to WAITING
2026-07-02T11:42:07.567269+00:00,BCHUSDT,WAITING,LONG_BIAS,216.69,BULLISH_DIVERGENCE,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:42:14.991069+00:00,BCHUSDT,LONG_BIAS,WAITING,216.72,BULLISH_DIVERGENCE,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:42:47.472045+00:00,BCHUSDT,WAITING,LONG_BIAS,216.7,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:42:52.713829+00:00,BCHUSDT,LONG_BIAS,WAITING,216.69,BUY_AGGRESSION,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:43:01.182785+00:00,BCHUSDT,WAITING,LONG_BIAS,216.7,BUY_AGGRESSION,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:43:04.364057+00:00,BCHUSDT,LONG_BIAS,WAITING,216.93,BULLISH_DIVERGENCE,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:43:13.922575+00:00,BCHUSDT,WAITING,LONG_BIAS,216.9,BULLISH_DIVERGENCE,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:43:17.082181+00:00,BCHUSDT,LONG_BIAS,WAITING,216.99,BULLISH_DIVERGENCE,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:43:21.268782+00:00,BCHUSDT,WAITING,LONG_BIAS,216.91,BULLISH_DIVERGENCE,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:43:22.326459+00:00,BCHUSDT,LONG_BIAS,WAITING,216.92,BULLISH_DIVERGENCE,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:43:24.472477+00:00,BCHUSDT,WAITING,LONG_BIAS,216.92,BULLISH_DIVERGENCE,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:43:29.878406+00:00,BCHUSDT,LONG_BIAS,WAITING,216.9,BULLISH_DIVERGENCE,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:43:30.966226+00:00,BCHUSDT,WAITING,LONG_BIAS,216.9,BULLISH_DIVERGENCE,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:43:35.251319+00:00,BCHUSDT,LONG_BIAS,WAITING,216.9,BULLISH_DIVERGENCE,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:43:36.312665+00:00,BCHUSDT,WAITING,LONG_BIAS,216.89,BULLISH_DIVERGENCE,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:43:42.695559+00:00,BCHUSDT,LONG_BIAS,WAITING,216.89,BULLISH_DIVERGENCE,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:43:49.091084+00:00,BCHUSDT,WAITING,LONG_BIAS,216.89,BULLISH_DIVERGENCE,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:43:53.343647+00:00,BCHUSDT,LONG_BIAS,WAITING,216.89,BULLISH_DIVERGENCE,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:43:56.581902+00:00,BCHUSDT,WAITING,LONG_BIAS,216.84,BULLISH_DIVERGENCE,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:43:57.680951+00:00,BCHUSDT,LONG_BIAS,WAITING,216.84,BULLISH_DIVERGENCE,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:43:59.889685+00:00,BCHUSDT,WAITING,LONG_BIAS,216.84,BULLISH_DIVERGENCE,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:44:08.676628+00:00,BCHUSDT,LONG_BIAS,WAITING,216.89,SELL_AGGRESSION,BEARISH_CONFLICT:SELL_AGGRESSION,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:45:33.907252+00:00,ADAUSDT,WAITING,LONG_BIAS,0.16,TRADE_BURST,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:45:37.356633+00:00,ADAUSDT,LONG_BIAS,WAITING,0.1601,TRADE_BURST,NONE,Dashboard change from LONG_BIAS to WAITING
2026-07-02T11:46:01.048928+00:00,ADAUSDT,WAITING,LONG_BIAS,0.1603,TRADE_BURST,NONE,Dashboard change from WAITING to LONG_BIAS
2026-07-02T11:46:02.211622+00:00,ADAUSDT,LONG_BIAS,WAITING,0.1601,TRADE_BURST,NONE,Dashboard change from LONG_BIAS to WAITING
